City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Port Alfred,-33.59,26.89,68.41,90,1,7.56,ZA,clear sky
1,Punta Arenas,-53.15,-70.92,60.8,51,40,31.09,CL,scattered clouds
2,Ushuaia,-54.8,-68.3,60.8,41,75,12.75,AR,broken clouds
3,Georgetown,5.41,100.34,78.8,88,40,3.36,MY,light rain
4,Hithadhoo,-0.6,73.08,82.87,74,89,9.75,MV,moderate rain
5,San Luis,-33.3,-66.34,83.71,25,62,8.21,AR,broken clouds
6,Banda Aceh,5.56,95.32,78.46,79,99,2.37,ID,overcast clouds
7,Ponta Do Sol,32.67,-17.1,66.2,72,40,4.7,PT,scattered clouds
8,Kodiak,57.79,-152.41,42.8,81,90,3.36,US,light rain
9,Cabo San Lucas,22.89,-109.91,84.0,65,40,10.29,MX,scattered clouds
10,Ayan,56.45,138.17,11.89,86,93,18.21,RU,overcast clouds
11,Salalah,17.02,54.09,75.2,69,0,2.24,OM,clear sky
12,Tasiilaq,65.61,-37.64,28.4,92,75,9.17,GL,broken clouds
13,Thompson,55.74,-97.86,19.4,79,90,2.24,CA,light snow
14,Yerbogachen,61.28,108.01,4.66,93,100,5.75,RU,overcast clouds
15,Roma,43.21,-75.46,69.8,46,1,10.29,US,clear sky
16,Clyde River,70.47,-68.59,-5.8,83,20,4.7,CA,few clouds
17,Kavieng,-2.57,150.8,83.16,68,44,7.52,PG,scattered clouds
18,Hermanus,-34.42,19.23,60.01,84,0,8.01,ZA,clear sky
19,Alofi,-19.06,-169.92,77.0,78,75,12.75,NU,light intensity drizzle
20,Puerto Ayora,-0.74,-90.35,78.8,65,20,23.04,EC,few clouds
21,Cidreira,-30.18,-50.21,69.04,80,2,14.0,BR,clear sky
22,Ribeira Grande,38.52,-28.7,59.0,77,20,6.93,PT,few clouds
23,Mataura,-46.19,168.86,50.0,57,65,10.0,NZ,broken clouds
24,Klaksvik,62.23,-6.59,41.0,86,85,1.12,FO,overcast clouds
25,Labuhan,-6.88,112.21,78.49,80,0,9.04,ID,clear sky
26,Ancud,-41.87,-73.82,64.4,52,0,9.17,CL,clear sky
27,Avarua,-21.21,-159.78,75.2,83,98,3.36,CK,overcast clouds
28,Brae,60.4,-1.35,44.6,100,74,2.06,GB,broken clouds
