City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Alfred,ZA,68.41,clear sky,-33.59,26.89,The Halyards Hotel
1,Punta Arenas,CL,60.8,scattered clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
2,Ushuaia,AR,60.8,broken clouds,-54.8,-68.3,Albatros Hotel
3,Georgetown,MY,78.8,light rain,5.41,100.34,Cititel Penang
4,Hithadhoo,MV,82.87,moderate rain,-0.6,73.08,Scoop Guest House
5,San Luis,AR,83.71,broken clouds,-33.3,-66.34,Huarpes Hotel
6,Banda Aceh,ID,78.46,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
7,Ponta Do Sol,PT,66.2,scattered clouds,32.67,-17.1,Hotel do Campo
9,Cabo San Lucas,MX,84.0,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
11,Salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
15,Roma,US,69.8,clear sky,43.21,-75.46,Wingate By Wyndham Rome
17,Kavieng,PG,83.16,scattered clouds,-2.57,150.8,Nusa Island Retreat
18,Hermanus,ZA,60.01,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
19,Alofi,NU,77.0,light intensity drizzle,-19.06,-169.92,Taloa Heights
20,Puerto Ayora,EC,78.8,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
21,Cidreira,BR,69.04,clear sky,-30.18,-50.21,Hotel Castelo
25,Labuhan,ID,78.49,clear sky,-6.88,112.21,bador sepret
26,Ancud,CL,64.4,clear sky,-41.87,-73.82,Hotel Arena Gruesa
27,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
29,Chuy,UY,65.88,few clouds,-33.7,-53.46,Nuevo Hotel Plaza
30,Atuona,PF,77.86,broken clouds,-9.8,-139.03,Villa Enata
31,Birao,CF,77.2,overcast clouds,10.28,22.79,
32,East London,ZA,69.37,clear sky,-33.02,27.91,Tu Casa
